user_id,movie_id,rating,timestamp
1,tt0369610,2,2024-02-15
1,tt2660888,3,2024-02-15
1,tt0119567,4,2024-02-15
1,tt0044121,1,2024-02-15
1,tt5113040,4,2024-02-15
2,tt1462769,3,2024-02-15
2,tt0143145,1,2024-02-15
2,tt0044121,1,2024-02-15
2,tt2709768,1,2024-02-15
2,tt0085959,2,2024-02-15
3,tt14513804,2,2024-02-15
3,tt0796366,2,2024-02-15
3,tt5442430,1,2024-02-15
3,tt0079945,3,2024-02-15
3,tt1055292,1,2024-02-15
4,tt0123964,2,2024-02-15
4,tt0480242,5,2024-02-15
4,tt5113040,3,2024-02-15
4,tt0079945,1,2024-02-15
4,tt1981115,2,2024-02-15
5,tt0816711,3,2024-02-15
5,tt5619332,2,2024-02-15
5,tt0456912,3,2024-02-15
5,tt2262227,1,2024-02-15
5,tt0228750,1,2024-02-15
6,tt1055292,2,2024-02-15
6,tt5442430,3,2024-02-15
6,tt1981115,3,2024-02-15
6,tt0369610,4,2024-02-15
6,tt0119567,1,2024-02-15
7,tt0369610,1,2024-02-15
7,tt0325703,4,2024-02-15
7,tt0118799,4,2024-02-15
7,tt0092007,4,2024-02-15
7,tt0456912,4,2024-02-15
8,tt0359950,3,2024-02-15
8,tt2172954,3,2024-02-15
8,tt0119535,5,2024-02-15
8,tt1502397,2,2024-02-15
8,tt1981115,3,2024-02-15
9,tt0796366,2,2024-02-15
9,tt12908150,2,2024-02-15
9,tt0044121,3,2024-02-15
9,tt0359950,1,2024-02-15
9,tt2709768,5,2024-02-15
10,tt0362270,4,2024-02-15
10,tt0359950,1,2024-02-15
10,tt2172954,4,2024-02-15
10,tt0446029,2,2024-02-15
10,tt0118799,2,2024-02-15
11,tt3778644,3,2024-02-15
11,tt0119567,5,2024-02-15
11,tt8041270,3,2024-02-15
11,tt1055292,5,2024-02-15
11,tt12908150,1,2024-02-15
12,tt2262227,2,2024-02-15
12,tt8041270,1,2024-02-15
12,tt0119567,3,2024-02-15
12,tt0092007,3,2024-02-15
12,tt31036941,5,2024-02-15
13,tt0228750,4,2024-02-15
13,tt5442430,1,2024-02-15
13,tt0119567,5,2024-02-15
13,tt0120623,3,2024-02-15
13,tt0079470,5,2024-02-15
14,tt0369610,4,2024-02-15
14,tt0088170,4,2024-02-15
14,tt0816711,1,2024-02-15
14,tt0092007,3,2024-02-15
14,tt1981115,2,2024-02-15
15,tt1981115,3,2024-02-15
15,tt3748528,4,2024-02-15
15,tt0456912,3,2024-02-15
15,tt2660888,2,2024-02-15
15,tt0311113,5,2024-02-15
16,tt2488496,2,2024-02-15
16,tt0362270,3,2024-02-15
16,tt8041270,5,2024-02-15
16,tt4881806,3,2024-02-15
16,tt0369610,5,2024-02-15
17,tt1408101,5,2024-02-15
17,tt0816711,1,2024-02-15
17,tt0362270,3,2024-02-15
17,tt0359950,3,2024-02-15
17,tt0480242,1,2024-02-15
18,tt4827558,5,2024-02-15
18,tt1981115,5,2024-02-15
18,tt0369610,2,2024-02-15
18,tt0119535,3,2024-02-15
18,tt3748528,4,2024-02-15
19,tt2709768,4,2024-02-15
19,tt5442430,5,2024-02-15
19,tt4827558,3,2024-02-15
19,tt0359950,5,2024-02-15
19,tt0311113,2,2024-02-15
20,tt3778644,1,2024-02-15
20,tt5442430,1,2024-02-15
20,tt0084726,3,2024-02-15
20,tt0088170,2,2024-02-15
20,tt12908150,3,2024-02-15
